Hid,Gym_Distance,Library_Distance
332,1.3,1.2
333,1.3,1.2
334,1.3,1.2
335,1.3,1.2
336,1.3,1.2
337,1.2,1.2
338,1.2,1.1
339,1.2,1.1
340,1.2,1.1
341,1.2,1.1
342,0.9,0.8
343,1,0.9
344,1,0.9
345,1.3,1.2
346,1.2,1.1
347,0.9,0.9
348,0.9,0.9
349,1.2,1.1
350,0.9,0.8
351,0.8,0.7
352,0.8,0.7
353,0.9,0.8
354,0.9,0.8
355,0.9,0.8
356,1,0.9
357,0.9,0.8
358,0.8,0.7
359,0.9,0.8
360,0.8,0.7
361,0.8,0.7
362,0.8,0.7
363,0.8,0.7
364,0.8,0.7
365,0.8,0.7
366,0.7,0.6
367,0.7,0.6
368,0.7,0.6
369,0.8,0.7
370,0.7,0.6
371,0.8,0.7
372,0.7,0.6
373,0.7,0.6
374,0.7,0.6
375,0.7,0.6
376,0.8,0.7
377,0.6,0.6
